2,On Foot,I commute on foot every single day.,Na nogach,NULL
2,Lease,My lease ending with the new year,Najem/Dzierżawa,NULL
2,Factory,"There are a lot of illegal imigrants working in the factory.",Fabryka, NULL
2,Fabric,"Cotto is a soft fabric.",Materiał,NULL
2,Reserved,"The Swids are reserved people.",Powściągliwy/Skryty/Rezerwa,NULL
2,Engage,"I won't engage in these matters.",Zajmować się/Zainteresować/Zatrudniać,NULL
2,Get involved,"Every military mission involves danger.",Zaangażować się/Pociągać za sobą,NULL
2,Entrance,"The man is stanging in front of the entrance.",Wejście/Prawo wstępu,NULL
2,Enter,"She entered the room.",Wchodzić/Wprowadzać/Oświadczać,NULL
2,Marina,"The ship is entering the marina.",Przystań,NULL
2,Harbour,"You will see the slips in harbour area.",Port,NULL
2,Borough,"Wrząsowice is a small vilage in Świątniki Górne borough.",Gmina,NULL
2,District,"I've been living 15 years in Borek Fałęcki districkt.",Dzielnica,NULL
2,Lightning,"There was enormous lightning over Wałbrzych",Błyskawica,NULL
