0,Deluge,The village was deluged bt floodwaters.,Zalewać/Zatapiać/Zasypywać,21 Lessons intro
0,Consciousness,She's lost consciousness,Przytomność/Świadomość,21 Lessons intro
0,Hone,I have to hone the code before PR.,Udoskonalić/Ostrzyć,21 Lessons intro
0,Wisdom,You have great wsdom for such a young age.,Mądrość/Rozsądek,21 Lessons intro
0,Overarching,To be or not to be stay an overarching question.,Naczelny/Nadrzędny,21 Lessons intro
0,Contrary,"If I do something, He always has to do sometching contrary.",Przeciwieństwo/Sprzeczny/Przekorny,21 Lessons intro
0,Emphasize,The police emphasize the importance of security.,Podkreślić/Akcentować,21 Lessons intro
0,Ensnared,The spider ensnared small ant.,Usidlić/Uwięzić,21 Lessons intro
0,Predicament,I'm in a predicament and I completely don't know what to do.,Dylemat/Kłopot,21 Lessons intro
0,Poignant,She told me a poignant story of hedgehog.,Wzruszający,21 Lessons intro
0,Bewilderment,"As he walked through the secret door, she stared at him in utter bewilderment.",Zdziwienie/Konfuzja/Osłupienie,21 Lessons intro
0,Embarking,The sailor embarked the ship.,Zaokrętowanie,21 Lessons intro
0,Versatile,This app is extremally versatile.,Uniwersalny/Wszechstronny,21 Lessons intro
0,Burgeoning,The population in India is burgeoning.,Rosnący w szybkim tempie.,21 Lessons intro
0,Regime,The citizens wanted to rebel against the regime.,Reżim/Ustrój,21 Lessons intro
