1,Polytechnic,"I study on Polytechinc",Politechnika,NULL
1,Commute,"I commute every day to work on foot",Dojeżdżać,NULL
1,Humanities,"Jagieloński University focuses on humanities",Hunanistyczne,NULL
1,Workload,"My current workload is very low",Obciążenie pracą,NULL
1,Ratio,"Workload is a worked hours to 8 hours ratio",Stosunek,NULL
1,Workwise,"Is everything ok, workwise ?",W związku z pracą,NULL
1,Narrative,"What is the type of nrrative in that novel ?",Naracja,NULL
1,Narrative Arc,"The novel's narrative arc is deeply touching",Akcja/Przebieg,NULL2,Lease,My lease ending with the new year,Najem/Dzierżawa,NULL
2,Factory,"There are a lot of illegal imigrants working in the factory.",Fabryka, NULL
2,Fabric,"Cotto is a soft fabric.",Materiał,NULL
2,Reserved,"The Swids are reserved people.",Powściągliwy/Skryty/Rezerwa,NULL
2,Engage,"I won't engage in these matters.",Zajmować się/Zainteresować/Zatrudniać,NULL
2,Get involved,"Every military mission involves danger.",Zaangażować się/Pociągać za sobą,NULL
2,Entrance,"The man is stanging in front of the entrance.",Wejście/Prawo wstępu,NULL
2,Enter,"She entered the room.",Wchodzić/Wprowadzać/Oświadczać,NULL
2,Marina,"The ship is entering the marina.",Przystań,NULL
2,Harbour,"You will see the slips in harbour area.",Port,NULL
2,Borough,"Wrząsowice is a small vilage in Świątniki Górne borough.",Gmina,NULL
2,District,"I've been living 15 years in Borek Fałęcki districkt.",Dzielnica,NULL
2,Lightning,"There was enormous lightning over Wałbrzych",Błyskawica,NULL3,Flashcards,I use to learning with flashcards,Fiszki,NULL
3,Course,I will continue English Course in new year,Kurs,NULL4,Storage,This room is beeing used for storage.,Składowanie/Pamięć,NULL
4,Caper,I love caper in olive oil.,Kapar/Podskok,NULL
4,Walnut,He gaved me a handful of wallnuts.,Orzech włoski,NULL
4,Nut,I love cookies with nuts.,Orzech,NULL
4,Varied,There are a lot of varied nations in Gothenburg.,Zróżnicowanty/Różnorodny,NULL
4,Crayfish,He invited me on cryfish party.,Krab,NULL0,Consciousness,She's lost consciousness,Przytomność/Świadomość,21 Lessons intro
0,Hone,I have to hone the code before PR.,Udoskonalić/Ostrzyć,21 Lessons intro
